guess,run,config,good,bad,%,recall,mca,ms
1st,8-20,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,280.0
1st,8-20,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,46.0
1st,8-20,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,0.0
1st,8-20,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,30.0
1st,8-20,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid),3.0,2.0,60.0,100.0,60.0,31.0
1st,8-20,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,173.0
1st,15-3,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,343.0
1st,15-3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid),1.0,4.0,20.0,100.0,20.0,62.0
1st,15-3,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,0.0
1st,15-3,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid),1.5,3.5,30.0,100.0,30.0,31.0
1st,15-3,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid),3.5,1.5,70.0,100.0,70.0,31.0
1st,15-3,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,219.0
1st,16-4,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,343.0
1st,16-4,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid),1.0,4.0,20.0,100.0,20.0,63.0
1st,16-4,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,47.0
1st,16-4,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid),1.5,3.5,30.0,100.0,30.0,46.0
1st,16-4,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid),3.5,1.5,70.0,100.0,70.0,32.0
1st,16-4,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,155.0
1st,12-18,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,363.0
1st,12-18,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,80.0
1st,12-18,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,32.0
1st,12-18,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid),1.5,3.5,30.0,100.0,30.0,48.0
1st,12-18,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid),3.0,2.0,60.0,100.0,60.0,15.0
1st,12-18,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,188.0
1st,11-8,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,1172.0
1st,11-8,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid),0.5,4.5,10.0,100.0,10.0,453.0
1st,11-8,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid),3.0,2.0,60.0,100.0,60.0,79.0
1st,11-8,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid),3.5,1.5,70.0,100.0,70.0,140.0
1st,11-8,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid),3.0,2.0,60.0,100.0,60.0,110.0
1st,11-8,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid),0.0,5.0,0.0,100.0,0.0,390.0
1st,9-19,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,1180.0
1st,9-19,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),0.5,4.5,10.0,100.0,10.0,435.0
1st,9-19,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),3.0,2.0,60.0,100.0,60.0,78.0
1st,9-19,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),3.0,2.0,60.0,100.0,60.0,124.0
1st,9-19,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,107.0
1st,9-19,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),1.0,4.0,20.0,100.0,20.0,436.0
1st,3-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,1201.0
1st,3-5,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),0.5,4.5,10.0,100.0,10.0,421.0
1st,3-5,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),3.0,2.0,60.0,100.0,60.0,125.0
1st,3-5,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),3.0,2.0,60.0,100.0,60.0,156.0
1st,3-5,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,93.0
1st,3-5,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),1.0,4.0,20.0,100.0,20.0,406.0
1st,10-12,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid,10.0,15.0,40.0,100.0,40.0,1231.0
1st,10-12,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid),2.0,3.0,40.0,100.0,40.0,467.0
1st,10-12,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid),1.5,3.5,30.0,100.0,30.0,142.0
1st,10-12,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid),1.0,4.0,20.0,100.0,20.0,124.0
1st,10-12,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid),4.0,1.0,80.0,100.0,80.0,110.0
1st,10-12,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid),1.5,3.5,30.0,100.0,30.0,388.0
1st,20-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid,10.0,15.0,40.0,100.0,40.0,1259.0
1st,20-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),2.0,3.0,40.0,100.0,40.0,452.0
1st,20-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),1.0,4.0,20.0,100.0,20.0,107.0
1st,20-2,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),1.0,4.0,20.0,100.0,20.0,156.0
1st,20-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),3.0,2.0,60.0,100.0,60.0,93.0
1st,20-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),3.0,2.0,60.0,100.0,60.0,451.0
1st,5-13,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,1282.0
1st,5-13,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid),0.5,4.5,10.0,100.0,10.0,455.0
1st,5-13,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid),3.0,2.0,60.0,100.0,60.0,111.0
1st,5-13,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid),3.5,1.5,70.0,100.0,70.0,154.0
1st,5-13,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid),3.0,2.0,60.0,100.0,60.0,141.0
