guess,run,config,good,bad,%,recall,mca,ms
1st,8-20,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,280.0
1st,15-3,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,343.0
1st,16-4,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,343.0
1st,12-18,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,363.0
1st,11-8,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,1172.0
1st,9-19,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,1180.0
1st,3-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid,10.0,15.0,40.0,100.0,40.0,1201.0
1st,10-12,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -hamming -flucid,10.0,15.0,40.0,100.0,40.0,1231.0
1st,20-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid,10.0,15.0,40.0,100.0,40.0,1259.0
1st,5-13,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,1282.0
1st,14-1,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid,10.0,15.0,40.0,100.0,40.0,1964.0
1st,40-7,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -minmax -cos -flucid,9.5,15.5,38.0,100.0,38.0,218.0
1st,36-17,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -minmax -cos -flucid,9.5,15.5,38.0,100.0,38.0,280.0
1st,41-15,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -cos -flucid,9.5,15.5,38.0,100.0,38.0,295.0
1st,7-28,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -eucl -flucid,9.5,15.5,38.0,100.0,38.0,308.0
1st,18-14,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -cos -flucid,9.5,15.5,38.0,100.0,38.0,311.0
1st,1-25,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -eucl -flucid,9.5,15.5,38.0,100.0,38.0,311.0
