guess,run,config,good,bad,%,recall,mca,ms
1st,131-1,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid,9.5,15.5,38.0,100.0,38.0,1291.0
1st,131-1,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),3.0,2.0,60.0,100.0,60.0,452.0
1st,131-1,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),2.0,3.0,40.0,100.0,40.0,108.0
1st,131-1,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),1.0,4.0,20.0,100.0,20.0,156.0
1st,131-1,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),1.0,4.0,20.0,100.0,20.0,123.0
1st,131-1,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,452.0
1st,117-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,1125.0
1st,117-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),0.5,4.5,10.0,100.0,10.0,406.0
1st,117-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,79.0
1st,117-2,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,93.0
1st,117-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,95.0
1st,117-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid),1.5,3.5,30.0,100.0,30.0,452.0
1st,182-4,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,1213.0
1st,182-4,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),0.5,4.5,10.0,100.0,10.0,437.0
1st,182-4,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,77.0
1st,182-4,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),2.0,3.0,40.0,100.0,40.0,140.0
1st,182-4,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),2.5,2.5,50.0,100.0,50.0,109.0
1st,182-4,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid),1.5,3.5,30.0,100.0,30.0,450.0
1st,114-3,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid,9.0,16.0,36.0,100.0,36.0,1996.0
1st,114-3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid),2.5,2.5,50.0,100.0,50.0,797.0
1st,114-3,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid),2.0,3.0,40.0,100.0,40.0,171.0
1st,114-3,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid),1.0,4.0,20.0,100.0,20.0,265.0
1st,114-3,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid),1.0,4.0,20.0,100.0,20.0,156.0
1st,114-3,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid),2.5,2.5,50.0,100.0,50.0,607.0
1st,10-100,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid,8.5,16.5,34.0,100.0,34.0,2012.0
1st,10-100,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid),2.5,2.5,50.0,100.0,50.0,794.0
1st,10-100,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid),1.5,3.5,30.0,100.0,30.0,173.0
1st,10-100,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid),1.0,4.0,20.0,100.0,20.0,264.0
1st,10-100,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid),1.0,4.0,20.0,100.0,20.0,220.0
1st,10-100,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid),2.5,2.5,50.0,100.0,50.0,561.0
1st,8-229,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid,8.0,17.0,32.0,100.0,32.0,284.0
