guess,run,config,good,bad,%,recall,mca,ms
1st,131-1,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -hamming -flucid,9.5,15.5,38.0,100.0,38.0,1291.0
1st,117-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,1125.0
1st,182-4,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,1213.0
1st,114-3,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -hamming -flucid,9.0,16.0,36.0,100.0,36.0,1996.0
1st,10-100,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -hamming -flucid,8.5,16.5,34.0,100.0,34.0,2012.0
1st,8-229,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid,8.0,17.0,32.0,100.0,32.0,284.0
1st,9-235,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid,8.0,17.0,32.0,100.0,32.0,358.0
1st,23-88,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -fft -mink -flucid,8.0,17.0,32.0,100.0,32.0,1298.0
1st,94-37,-noclustering --nothreshold --niolocking -dynaclass -silence -band -lpc -cos -flucid,8.0,17.0,32.0,100.0,32.0,1806.0
1st,49-24,-noclustering --nothreshold --niolocking -dynaclass -silence -band -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,1809.0
1st,326-5,-noclustering --nothreshold --niolocking -dynaclass -noise -band -fft -hamming -flucid,8.0,17.0,32.0,100.0,32.0,2023.0
1st,35-102,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -mink -flucid,8.0,17.0,32.0,100.0,32.0,2047.0
1st,46-12,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -band -lpc -diff -flucid,8.0,17.0,32.0,100.0,32.0,2433.0
1st,152-8,-noclustering --nothreshold --niolocking -dynaclass -noise -band -aggr -hamming -flucid,8.0,17.0,32.0,100.0,32.0,2603.0
1st,4-400,-noclustering --nothreshold --niolocking -dynaclass -noise -high -aggr -cheb -flucid,8.0,17.0,32.0,100.0,32.0,2657.0
1st,193-20,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -minmax -hamming -flucid,7.5,17.5,30.0,100.0,30.0,249.0
1st,24-117,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,265.0
1st,15-565,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid,7.5,17.5,30.0,100.0,30.0,280.0
1st,37-244,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,281.0
1st,134-33,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -minmax -hamming -flucid,7.5,17.5,30.0,100.0,30.0,294.0
1st,13-549,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,296.0
1st,14-561,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,296.0
1st,168-34,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -minmax -hamming -flucid,7.5,17.5,30.0,100.0,30.0,328.0
1st,40-131,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,358.0
1st,7-331,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -eucl -flucid,7.5,17.5,30.0,100.0,30.0,376.0
1st,12-395,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -eucl -flucid,7.5,17.5,30.0,100.0,30.0,377.0
1st,155-30,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -minmax -hamming -flucid,7.5,17.5,30.0,100.0,30.0,391.0
1st,16-550,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid,7.5,17.5,30.0,100.0,30.0,423.0
1st,29-125,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -minmax -mink -flucid,7.5,17.5,30.0,100.0,30.0,424.0
