./javalimited.sh: No lock taken...
./javalimited.sh: Lock acquired. Reading counter.
./javalimited.sh: Registered started JVMs: 0
./javalimited.sh: Registering our JVM...
./javalimited.sh: Re-releasing lock 2...
./javalimited.sh: Running our real JVM [java]: 1...
SATEDb.query(): DB size: 5
SATEDb.query(): DB size: 5
guess,run,config,good,bad,%,recall,mca,ms
1st,1,-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid,11,14,44.00,100.00,44.00,498
1st,1,Entertainment (-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid),0,5,0.00,100.00,0.00,92
1st,1,Tourism (-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid),2,3,40.00,100.00,40.00,62
1st,1,Financial (-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid),4,1,80.00,100.00,80.00,32
1st,1,Social (-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid),3,2,60.00,100.00,60.00,32
1st,1,Weather (-median --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -hamming -flucid),2,3,40.00,100.00,40.00,280
1st,2,-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid,11,14,44.00,100.00,44.00,500
1st,2,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid),0,5,0.00,100.00,0.00,30
1st,2,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid),2,3,40.00,100.00,40.00,64
1st,2,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid),4,1,80.00,100.00,80.00,92
1st,2,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid),3,2,60.00,100.00,60.00,64
1st,2,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -hamming -flucid),2,3,40.00,100.00,40.00,250
1st,3,-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,10,15,40.00,100.00,40.00,250
1st,3,Entertainment (-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),2,3,40.00,100.00,40.00,32
1st,3,Tourism (-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),3,2,60.00,100.00,60.00,32
1st,3,Financial (-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),1,4,20.00,100.00,20.00,62
1st,3,Social (-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),1,4,20.00,100.00,20.00,0
1st,3,Weather (-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid),3,2,60.00,100.00,60.00,124
1st,4,-median --nothreshold --niolocking -dynaclass -noise -band -lpc -cheb -flucid,10,15,40.00,100.00,40.00,534
