guess,run,config,good,bad,%,recall,mca,ms
1st,6-8,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid,10.5,14.5,42.0,100.0,42.0,405.0
1st,6-8,Entertainment (-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,46.0
1st,6-8,Financial (-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,77.0
1st,6-8,Social (-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,47.0
1st,6-8,Tourism (-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,32.0
1st,6-8,Weather (-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,203.0
1st,10-11,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid,10.5,14.5,42.0,100.0,42.0,465.0
1st,10-11,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,31.0
1st,10-11,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,45.0
1st,10-11,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,61.0
1st,10-11,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,63.0
1st,10-11,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,265.0
1st,2-31,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid,10.5,14.5,42.0,100.0,42.0,561.0
1st,2-31,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),1.0,4.0,20.0,100.0,20.0,93.0
1st,2-31,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,47.0
1st,2-31,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),4.0,1.0,80.0,100.0,80.0,62.0
1st,2-31,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),1.0,4.0,20.0,100.0,20.0,77.0
1st,2-31,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,282.0
1st,7-23,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid,10.0,15.0,40.0,100.0,40.0,404.0
1st,7-23,Entertainment (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,31.0
1st,7-23,Financial (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,46.0
1st,7-23,Social (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,31.0
