guess,run,config,good,bad,%,recall,mca,ms
1st,6-8,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid,10.5,14.5,42.0,100.0,42.0,405.0
1st,10-11,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid,10.5,14.5,42.0,100.0,42.0,465.0
1st,2-31,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid,10.5,14.5,42.0,100.0,42.0,561.0
1st,7-23,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid,10.0,15.0,40.0,100.0,40.0,404.0
1st,13-19,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,434.0
1st,16-21,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,453.0
1st,12-32,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -cheb -flucid,10.0,15.0,40.0,100.0,40.0,465.0
1st,9-30,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -mink -flucid,10.0,15.0,40.0,100.0,40.0,565.0
1st,8-52,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid,9.5,15.5,38.0,100.0,38.0,431.0
1st,11-37,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid,9.5,15.5,38.0,100.0,38.0,437.0
1st,26-20,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -eucl -flucid,9.5,15.5,38.0,100.0,38.0,438.0
1st,17-68,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -diff -flucid,9.5,15.5,38.0,100.0,38.0,439.0
1st,23-16,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -eucl -flucid,9.5,15.5,38.0,100.0,38.0,501.0
1st,5-136,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,513.0
1st,1-92,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,559.0
1st,20-117,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid,9.0,16.0,36.0,100.0,36.0,371.0
1st,27-62,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,394.0
1st,24-47,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,404.0
1st,14-146,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cos -flucid,9.0,16.0,36.0,100.0,36.0,420.0
1st,29-33,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -mink -flucid,9.0,16.0,36.0,100.0,36.0,421.0
1st,38-29,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -mink -flucid,9.0,16.0,36.0,100.0,36.0,437.0
1st,30-15,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -mink -flucid,9.0,16.0,36.0,100.0,36.0,437.0
1st,18-119,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid,9.0,16.0,36.0,100.0,36.0,467.0
1st,15-79,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -cos -flucid,9.0,16.0,36.0,100.0,36.0,479.0
1st,106-10,-median --nothreshold --niolocking -dynaclass -silence-noise -band -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,514.0
1st,35-24,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -mink -flucid,9.0,16.0,36.0,100.0,36.0,561.0
1st,22-49,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,578.0
1st,25-51,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -mink -flucid,9.0,16.0,36.0,100.0,36.0,607.0
1st,47-76,-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,233.0
1st,33-41,-median --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,245.0
1st,36-40,-median --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,253.0
1st,45-65,-median --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,324.0
1st,37-36,-median --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,327.0
1st,32-48,-median --nothreshold --niolocking -dynaclass -silence -norm -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,328.0
1st,43-55,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,530.0
1st,285-3,-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,266.0
1st,298-5,-median --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,266.0
1st,297-7,-median --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,283.0
1st,386-9,-median --nothreshold --niolocking -dynaclass -silence -norm -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,295.0
1st,222-6,-median --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,298.0
1st,3-681,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -hamming -flucid,8.0,17.0,32.0,100.0,32.0,391.0
1st,280-12,-median --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,407.0
1st,68-45,-median --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -hamming -flucid,8.0,17.0,32.0,100.0,32.0,467.0
1st,4-637,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -hamming -flucid,8.0,17.0,32.0,100.0,32.0,499.0
1st,40-86,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cos -flucid,8.0,17.0,32.0,100.0,32.0,516.0
1st,52-42,-median --nothreshold --niolocking -dynaclass -silence-noise -band -lpc -mink -flucid,8.0,17.0,32.0,100.0,32.0,531.0
1st,28-83,-median --nothreshold --niolocking -dynaclass -silence-noise -band -aggr -hamming -flucid,8.0,17.0,32.0,100.0,32.0,701.0
