guess,run,config,good,bad,%,recall,mca,ms
1st,4-15,-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid,10.5,14.5,42.0,100.0,42.0,590.0
1st,4-15,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid),2.5,2.5,50.0,100.0,50.0,63.0
1st,4-15,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid),1.0,4.0,20.0,100.0,20.0,62.0
1st,4-15,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid),1.5,3.5,30.0,100.0,30.0,62.0
1st,4-15,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid),3.5,1.5,70.0,100.0,70.0,92.0
1st,4-15,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid),2.0,3.0,40.0,100.0,40.0,311.0
1st,106-3,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,358.0
1st,106-3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid),3.0,2.0,60.0,100.0,60.0,31.0
1st,106-3,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid),0.5,4.5,10.0,100.0,10.0,78.0
1st,106-3,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid),2.0,3.0,40.0,100.0,40.0,61.0
1st,106-3,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid),2.5,2.5,50.0,100.0,50.0,32.0
1st,106-3,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid),2.0,3.0,40.0,100.0,40.0,156.0
1st,81-2,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,371.0
1st,81-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid),3.0,2.0,60.0,100.0,60.0,30.0
1st,81-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid),0.5,4.5,10.0,100.0,10.0,46.0
1st,81-2,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid),2.0,3.0,40.0,100.0,40.0,47.0
1st,81-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid),2.5,2.5,50.0,100.0,50.0,30.0
1st,81-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid),2.0,3.0,40.0,100.0,40.0,218.0
1st,31-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,386.0
1st,31-5,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid),2.5,2.5,50.0,100.0,50.0,45.0
1st,31-5,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid),1.0,4.0,20.0,100.0,20.0,30.0
1st,31-5,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid),2.0,3.0,40.0,100.0,40.0,94.0
1st,31-5,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid),2.5,2.5,50.0,100.0,50.0,32.0
1st,31-5,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid),2.0,3.0,40.0,100.0,40.0,185.0
1st,14-11,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,407.0
1st,14-11,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid),2.5,2.5,50.0,100.0,50.0,15.0
1st,14-11,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid),1.0,4.0,20.0,100.0,20.0,63.0
1st,14-11,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid),2.0,3.0,40.0,100.0,40.0,62.0
1st,14-11,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid),2.5,2.5,50.0,100.0,50.0,32.0
1st,14-11,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid),2.0,3.0,40.0,100.0,40.0,235.0
