guess,run,config,good,bad,%,recall,mca,ms
1st,4-15,-noclustering --nothreshold --niolocking -dynaclass -noise -high -lpc -diff -flucid,10.5,14.5,42.0,100.0,42.0,590.0
1st,106-3,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,358.0
1st,81-2,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,371.0
1st,31-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,386.0
1st,14-11,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,407.0
1st,107-8,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,205.0
1st,55-10,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,231.0
1st,2-102,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid,9.5,15.5,38.0,100.0,38.0,248.0
1st,9-26,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,360.0
1st,1-62,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid,9.5,15.5,38.0,100.0,38.0,391.0
1st,3-45,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,439.0
1st,52-27,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cos -flucid,9.0,16.0,36.0,100.0,36.0,203.0
1st,11-23,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -eucl -flucid,9.0,16.0,36.0,100.0,36.0,203.0
1st,6-99,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,217.0
1st,75-21,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -cheb -flucid,9.0,16.0,36.0,100.0,36.0,220.0
1st,7-131,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -mink -flucid,9.0,16.0,36.0,100.0,36.0,233.0
1st,40-24,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cos -flucid,9.0,16.0,36.0,100.0,36.0,267.0
1st,92-17,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -cheb -flucid,9.0,16.0,36.0,100.0,36.0,281.0
1st,28-38,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -eucl -flucid,9.0,16.0,36.0,100.0,36.0,296.0
1st,189-7,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -hamming -flucid,9.0,16.0,36.0,100.0,36.0,326.0
1st,138-9,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -hamming -flucid,9.0,16.0,36.0,100.0,36.0,327.0
1st,181-14,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -minmax -hamming -flucid,9.0,16.0,36.0,100.0,36.0,373.0
1st,198-12,-noclustering --nothreshold --niolocking -dynaclass -silence -low -minmax -hamming -flucid,9.0,16.0,36.0,100.0,36.0,373.0
1st,172-6,-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid,9.0,16.0,36.0,100.0,36.0,387.0
1st,187-13,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid,9.0,16.0,36.0,100.0,36.0,502.0
1st,19-142,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -minmax -mink -flucid,8.5,16.5,34.0,100.0,34.0,205.0
1st,20-74,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -minmax -mink -flucid,8.5,16.5,34.0,100.0,34.0,217.0
1st,17-111,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cos -flucid,8.5,16.5,34.0,100.0,34.0,298.0
1st,85-32,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -minmax -hamming -flucid,8.5,16.5,34.0,100.0,34.0,359.0
1st,25-94,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -diff -flucid,8.5,16.5,34.0,100.0,34.0,360.0
1st,53-50,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -minmax -hamming -flucid,8.5,16.5,34.0,100.0,34.0,361.0
