guess,run,config,good,bad,%,recall,mca,ms
1st,219-2,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,559.0
1st,219-2,Entertainment (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid),2.5,2.5,50.0,100.0,50.0,77.0
1st,219-2,Financial (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid),3.5,1.5,70.0,100.0,70.0,63.0
1st,219-2,Social (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid),2.0,3.0,40.0,100.0,40.0,15.0
1st,219-2,Tourism (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid),0.5,4.5,10.0,100.0,10.0,76.0
1st,219-2,Weather (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid),1.5,3.5,30.0,100.0,30.0,328.0
1st,170-1,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,638.0
1st,170-1,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid),2.5,2.5,50.0,100.0,50.0,62.0
1st,170-1,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid),3.5,1.5,70.0,100.0,70.0,78.0
1st,170-1,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid),2.0,3.0,40.0,100.0,40.0,78.0
1st,170-1,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid),0.5,4.5,10.0,100.0,10.0,78.0
1st,170-1,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid),1.5,3.5,30.0,100.0,30.0,342.0
1st,130-3,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,516.0
1st,130-3,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,15.0
1st,130-3,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid),3.5,1.5,70.0,100.0,70.0,93.0
1st,130-3,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,31.0
1st,130-3,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid),0.5,4.5,10.0,100.0,10.0,78.0
1st,130-3,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,299.0
1st,217-4,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,609.0
1st,217-4,Entertainment (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,93.0
1st,217-4,Financial (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid),3.5,1.5,70.0,100.0,70.0,78.0
1st,217-4,Social (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,78.0
1st,217-4,Tourism (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid),0.5,4.5,10.0,100.0,10.0,46.0
1st,217-4,Weather (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,314.0
1st,20-76,-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid,9.0,16.0,36.0,100.0,36.0,562.0
1st,20-76,Entertainment (-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid),0.0,5.0,0.0,100.0,0.0,79.0
1st,20-76,Financial (-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,63.0
1st,20-76,Social (-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,63.0
1st,20-76,Tourism (-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,111.0
1st,20-76,Weather (-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid),1.5,3.5,30.0,100.0,30.0,246.0
1st,1-104,-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid,9.0,16.0,36.0,100.0,36.0,563.0
1st,1-104,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid),0.0,5.0,0.0,100.0,0.0,32.0
1st,1-104,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,110.0
1st,1-104,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,78.0
1st,1-104,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid),2.5,2.5,50.0,100.0,50.0,77.0
1st,1-104,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid),1.5,3.5,30.0,100.0,30.0,266.0
1st,169-9,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,564.0
1st,169-9,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,63.0
1st,169-9,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,63.0
1st,169-9,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,47.0
1st,169-9,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),1.0,4.0,20.0,100.0,20.0,78.0
1st,169-9,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,313.0
1st,136-5,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,640.0
1st,136-5,Entertainment (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,110.0
1st,136-5,Financial (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,77.0
1st,136-5,Social (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,62.0
1st,136-5,Tourism (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid),1.0,4.0,20.0,100.0,20.0,78.0
1st,136-5,Weather (-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid),1.5,3.5,30.0,100.0,30.0,313.0
1st,69-68,-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid,8.5,16.5,34.0,100.0,34.0,299.0
1st,69-68,Entertainment (-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid),2.5,2.5,50.0,100.0,50.0,31.0
1st,69-68,Financial (-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid),1.0,4.0,20.0,100.0,20.0,48.0
1st,69-68,Social (-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid),2.5,2.5,50.0,100.0,50.0,16.0
1st,69-68,Tourism (-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid),0.5,4.5,10.0,100.0,10.0,0.0
1st,69-68,Weather (-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid),2.0,3.0,40.0,100.0,40.0,204.0
1st,52-59,-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid,8.5,16.5,34.0,100.0,34.0,405.0
1st,52-59,Entertainment (-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid),2.5,2.5,50.0,100.0,50.0,78.0
1st,52-59,Financial (-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid),1.0,4.0,20.0,100.0,20.0,61.0
