guess,run,config,good,bad,%,recall,mca,ms
1st,219-2,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,559.0
1st,170-1,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -diff -flucid,10.0,15.0,40.0,100.0,40.0,638.0
1st,130-3,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,516.0
1st,217-4,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -cheb -flucid,9.5,15.5,38.0,100.0,38.0,609.0
1st,20-76,-median --nothreshold --niolocking -dynaclass -noise -low -fft -hamming -flucid,9.0,16.0,36.0,100.0,36.0,562.0
1st,1-104,-median --nothreshold --niolocking -dynaclass -silence-noise -low -fft -hamming -flucid,9.0,16.0,36.0,100.0,36.0,563.0
1st,169-9,-median --nothreshold --niolocking -dynaclass -silence-noise -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,564.0
1st,136-5,-median --nothreshold --niolocking -dynaclass -noise -low -lpc -eucl -flucid,9.0,16.0,36.0,100.0,36.0,640.0
1st,69-68,-median --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -eucl -flucid,8.5,16.5,34.0,100.0,34.0,299.0
1st,52-59,-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid,8.5,16.5,34.0,100.0,34.0,405.0
1st,276-7,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,433.0
1st,347-13,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,436.0
1st,215-23,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,438.0
1st,239-24,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,439.0
1st,277-8,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,441.0
1st,297-10,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,450.0
1st,201-20,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,452.0
1st,202-21,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,455.0
1st,264-6,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,496.0
1st,306-12,-median --nothreshold --niolocking -dynaclass -silence -low -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,499.0
1st,350-14,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,533.0
1st,301-11,-median --nothreshold --niolocking -dynaclass -noise -norm -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,547.0
1st,93-46,-median --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid,8.0,17.0,32.0,100.0,32.0,247.0
