guess,run,config,good,bad,%,recall,mca,ms
1st,9-6,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,375.0
1st,9-6,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,43.0
1st,9-6,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid),0.5,4.5,10.0,100.0,10.0,45.0
1st,9-6,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,49.0
1st,9-6,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,33.0
1st,9-6,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid),4.0,1.0,80.0,100.0,80.0,205.0
1st,13-8,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,405.0
1st,13-8,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,48.0
1st,13-8,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid),0.5,4.5,10.0,100.0,10.0,48.0
1st,13-8,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,37.0
1st,13-8,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,35.0
1st,13-8,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid),4.0,1.0,80.0,100.0,80.0,237.0
1st,19-13,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,407.0
