guess,run,config,good,bad,%,recall,mca,ms
1st,9-6,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,375.0
1st,13-8,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,405.0
1st,19-13,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,407.0
1st,1-3,-noclustering --nothreshold --niolocking -dynaclass -silence -low -minmax -cos -flucid,11.0,14.0,44.0,100.0,44.0,414.0
1st,6-20,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -minmax -eucl -flucid,10.5,14.5,42.0,100.0,42.0,364.0
1st,11-36,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -eucl -flucid,10.5,14.5,42.0,100.0,42.0,394.0
1st,14-38,-noclustering --nothreshold --niolocking -dynaclass -silence -low -minmax -eucl -flucid,10.5,14.5,42.0,100.0,42.0,403.0
1st,17-45,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -eucl -flucid,10.5,14.5,42.0,100.0,42.0,437.0
1st,2-59,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,203.0
1st,18-105,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,238.0
1st,111-5,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,365.0
1st,70-50,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,365.0
1st,23-17,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,374.0
1st,37-25,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,387.0
1st,57-40,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -minmax -cheb -flucid,10.0,15.0,40.0,100.0,40.0,397.0
1st,4-60,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -minmax -eucl -flucid,10.0,15.0,40.0,100.0,40.0,397.0
1st,142-12,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,398.0
1st,60-44,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,423.0
1st,20-112,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -minmax -eucl -flucid,10.0,15.0,40.0,100.0,40.0,426.0
1st,81-54,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -minmax -diff -flucid,10.0,15.0,40.0,100.0,40.0,431.0
1st,15-101,-noclustering --nothreshold --niolocking -dynaclass -noise -low -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,460.0
1st,7-77,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -low -minmax -cos -flucid,10.0,15.0,40.0,100.0,40.0,511.0
1st,32-70,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,334.0
1st,5-122,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -eucl -flucid,9.5,15.5,38.0,100.0,38.0,372.0
1st,74-108,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -mink -flucid,9.5,15.5,38.0,100.0,38.0,382.0
1st,16-159,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -eucl -flucid,9.5,15.5,38.0,100.0,38.0,382.0
1st,62-104,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -diff -flucid,9.5,15.5,38.0,100.0,38.0,382.0
1st,24-64,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cos -flucid,9.5,15.5,38.0,100.0,38.0,383.0
1st,56-99,-noclustering --nothreshold --niolocking -dynaclass -silence -low -minmax -diff -flucid,9.5,15.5,38.0,100.0,38.0,385.0
1st,48-93,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -minmax -diff -flucid,9.5,15.5,38.0,100.0,38.0,389.0
1st,35-76,-noclustering --nothreshold --niolocking -dynaclass -silence -low -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,390.0
1st,33-71,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -minmax -diff -flucid,9.5,15.5,38.0,100.0,38.0,393.0
1st,38-86,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -minmax -cheb -flucid,9.5,15.5,38.0,100.0,38.0,397.0
