guess,run,config,good,bad,%,recall,mca,ms
1st,22-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid,11.0,6.5,63.235,100.0,55.0,372.0
1st,22-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),0.0,1.0,0.0,20.0,0.0,4.0
1st,22-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),2.0,3.0,40.0,100.0,40.0,96.0
1st,22-2,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),4.0,1.0,80.0,100.0,80.0,69.0
1st,22-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),1.0,0.5,75.0,30.0,75.0,6.0
1st,22-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),4.0,1.0,80.0,100.0,80.0,197.0
1st,32-1,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid,11.0,6.5,63.235,100.0,55.0,403.0
1st,32-1,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),0.0,1.0,0.0,20.0,0.0,4.0
1st,32-1,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),2.0,3.0,40.0,100.0,40.0,60.0
1st,32-1,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),4.0,1.0,80.0,100.0,80.0,67.0
1st,32-1,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),1.0,0.5,75.0,30.0,75.0,22.0
1st,32-1,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),4.0,1.0,80.0,100.0,80.0,250.0
1st,2-154,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,9.0,8.5,51.144999999999996,100.0,39.0,450.0
1st,2-154,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,2-154,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,93.0
1st,2-154,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,92.0
1st,2-154,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,16.0
1st,2-154,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid),2.5,2.5,50.0,100.0,50.0,233.0
1st,1-96,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,9.0,8.5,51.144999999999996,100.0,39.0,481.0
1st,1-96,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,6.0
1st,1-96,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,127.0
1st,1-96,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,99.0
1st,1-96,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,8.0
1st,1-96,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),2.5,2.5,50.0,100.0,50.0,241.0
1st,27-36,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid,8.5,9.0,48.53,100.0,37.0,443.0
1st,27-36,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,5.0
1st,27-36,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,94.0
1st,27-36,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid),3.5,1.5,70.0,100.0,70.0,74.0
1st,27-36,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,25.0
1st,27-36,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid),2.5,2.5,50.0,100.0,50.0,245.0
1st,13-32,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid,8.5,9.0,48.53,100.0,37.0,501.0
1st,13-32,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,13-32,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,95.0
1st,13-32,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid),3.5,1.5,70.0,100.0,70.0,94.0
1st,13-32,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,0.0
1st,13-32,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid),2.5,2.5,50.0,100.0,50.0,312.0
1st,9-53,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid,8.5,9.0,48.53,100.0,34.0,1187.0
1st,9-53,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,32.0
1st,9-53,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,297.0
1st,9-53,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid),4.0,1.0,80.0,100.0,80.0,249.0
1st,9-53,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid),0.0,1.5,0.0,30.0,0.0,31.0
1st,9-53,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,578.0
1st,29-28,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid,8.5,9.0,48.53,100.0,34.0,1231.0
1st,29-28,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,15.0
1st,29-28,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,328.0
1st,29-28,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid),4.0,1.0,80.0,100.0,80.0,281.0
1st,29-28,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid),0.0,1.5,0.0,30.0,0.0,46.0
1st,29-28,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,561.0
1st,411-3,-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid,8.0,9.5,46.075,100.0,32.0,925.0
1st,411-3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),0.0,1.0,0.0,20.0,0.0,31.0
1st,411-3,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,189.0
1st,411-3,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),3.5,1.5,70.0,100.0,70.0,157.0
1st,411-3,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),0.0,1.5,0.0,30.0,0.0,31.0
1st,411-3,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,517.0
1st,363-4,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid,8.0,9.5,46.075,100.0,32.0,936.0
1st,363-4,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),0.0,1.0,0.0,20.0,0.0,30.0
1st,363-4,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),2.0,3.0,40.0,100.0,40.0,219.0
1st,363-4,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),3.5,1.5,70.0,100.0,70.0,154.0
1st,363-4,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),0.0,1.5,0.0,30.0,0.0,48.0
1st,363-4,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),2.5,2.5,50.0,100.0,50.0,485.0
1st,291-6,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid,8.0,9.5,45.915,100.0,43.0,608.0
1st,291-6,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid),0.0,1.0,0.0,20.0,0.0,7.0
1st,291-6,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid),2.5,2.5,50.0,100.0,50.0,119.0
1st,291-6,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid),3.0,2.0,60.0,100.0,60.0,108.0
1st,291-6,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid),1.0,0.5,75.0,30.0,75.0,10.0
1st,291-6,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid),1.5,3.5,30.0,100.0,30.0,364.0
1st,59-51,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid,8.0,9.5,45.75,100.0,43.0,655.0
1st,59-51,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid),0.0,1.0,0.0,20.0,0.0,9.0
1st,59-51,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid),1.5,3.5,30.0,100.0,30.0,128.0
1st,59-51,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid),3.0,2.0,60.0,100.0,60.0,132.0
1st,59-51,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid),1.0,0.5,75.0,30.0,75.0,28.0
1st,59-51,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid),2.5,2.5,50.0,100.0,50.0,358.0
1st,214-17,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid,8.0,9.5,45.915,100.0,43.0,671.0
1st,214-17,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,214-17,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid),2.5,2.5,50.0,100.0,50.0,124.0
1st,214-17,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid),3.0,2.0,60.0,100.0,60.0,110.0
1st,214-17,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid),1.0,0.5,75.0,30.0,75.0,15.0
1st,214-17,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid),1.5,3.5,30.0,100.0,30.0,422.0
