guess,run,config,good,bad,%,recall,mca,ms
1st,22-2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid,11.0,6.5,63.235,100.0,55.0,372.0
1st,32-1,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid,11.0,6.5,63.235,100.0,55.0,403.0
1st,2-154,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,9.0,8.5,51.144999999999996,100.0,39.0,450.0
1st,1-96,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,9.0,8.5,51.144999999999996,100.0,39.0,481.0
1st,27-36,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid,8.5,9.0,48.53,100.0,37.0,443.0
1st,13-32,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid,8.5,9.0,48.53,100.0,37.0,501.0
1st,9-53,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -cheb -flucid,8.5,9.0,48.53,100.0,34.0,1187.0
1st,29-28,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -cheb -flucid,8.5,9.0,48.53,100.0,34.0,1231.0
1st,411-3,-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid,8.0,9.5,46.075,100.0,32.0,925.0
1st,363-4,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid,8.0,9.5,46.075,100.0,32.0,936.0
1st,291-6,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -minmax -hamming -flucid,8.0,9.5,45.915,100.0,43.0,608.0
1st,59-51,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -hamming -flucid,8.0,9.5,45.75,100.0,43.0,655.0
1st,214-17,-noclustering --nothreshold --niolocking -dynaclass -silence -band -minmax -hamming -flucid,8.0,9.5,45.915,100.0,43.0,671.0
1st,61-25,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -aggr -hamming -flucid,8.0,9.5,45.75,100.0,43.0,671.0
1st,143-22,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,482.0
1st,292-10,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,514.0
1st,273-23,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,537.0
1st,122-40,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,438.0
1st,124-30,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid,8.0,9.5,45.75,100.0,35.0,449.0
1st,107-60,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,489.0
1st,278-12,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,513.0
1st,254-15,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,619.0
1st,205-21,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -diff -flucid,8.0,9.5,45.915,100.0,32.0,657.0
1st,244-16,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -fft -cheb -flucid,8.0,9.5,45.915,100.0,32.0,669.0
1st,236-13,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -fft -diff -flucid,8.0,9.5,45.915,100.0,32.0,685.0
1st,134-5,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -cheb -flucid,8.0,9.5,45.915,100.0,32.0,716.0
1st,46-47,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid,8.0,9.5,45.75,100.0,35.0,501.0
1st,216-11,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,550.0
1st,275-20,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -aggr -cheb -flucid,8.0,9.5,45.915,100.0,32.0,797.0
1st,265-19,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -aggr -diff -flucid,8.0,9.5,45.915,100.0,32.0,829.0
1st,179-24,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -diff -flucid,8.0,9.5,45.915,100.0,32.0,840.0
1st,190-8,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -endp -aggr -cheb -flucid,8.0,9.5,45.915,100.0,32.0,904.0
1st,92-58,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid,8.0,9.5,45.75,100.0,32.0,1186.0
