guess,run,config,good,bad,%,recall,mca,ms
1st,1-1,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid,11.0,6.5,62.91,100.0,47.0,937.0
1st,1-1,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,1-1,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid),3.5,1.5,70.0,100.0,70.0,221.0
1st,1-1,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid),4.0,1.0,80.0,100.0,80.0,204.0
1st,1-1,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid),0.5,1.0,25.0,30.0,25.0,30.0
1st,1-1,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid),3.0,2.0,60.0,100.0,60.0,466.0
1st,2-2,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid,11.0,6.5,62.91,100.0,47.0,981.0
1st,2-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,2-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid),3.5,1.5,70.0,100.0,70.0,249.0
1st,2-2,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid),4.0,1.0,80.0,100.0,80.0,171.0
1st,2-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid),0.5,1.0,25.0,30.0,25.0,47.0
1st,2-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid),3.0,2.0,60.0,100.0,60.0,498.0
1st,19-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid,9.0,8.5,51.47,100.0,39.0,407.0
1st,19-5,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,19-5,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid),3.0,2.0,60.0,100.0,60.0,92.0
1st,19-5,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid),3.0,2.0,60.0,100.0,60.0,63.0
1st,19-5,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid),0.5,1.0,25.0,30.0,25.0,0.0
1st,19-5,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,252.0
1st,36-8,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid,9.0,8.5,51.47,100.0,39.0,503.0
1st,36-8,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,0.0
1st,36-8,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid),3.0,2.0,60.0,100.0,60.0,109.0
1st,36-8,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid),3.0,2.0,60.0,100.0,60.0,110.0
1st,36-8,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid),0.5,1.0,25.0,30.0,25.0,0.0
1st,36-8,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,284.0
1st,32-10,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid,9.0,8.5,51.47,100.0,36.0,1180.0
1st,32-10,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid),0.0,1.0,0.0,20.0,0.0,16.0
1st,32-10,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid),3.5,1.5,70.0,100.0,70.0,326.0
1st,32-10,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,215.0
1st,32-10,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid),0.0,1.5,0.0,30.0,0.0,46.0
1st,32-10,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,577.0
1st,14-7,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid,9.0,8.5,51.47,100.0,36.0,1252.0
1st,14-7,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid),0.0,1.0,0.0,20.0,0.0,41.0
1st,14-7,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid),3.5,1.5,70.0,100.0,70.0,308.0
1st,14-7,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,274.0
1st,14-7,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid),0.0,1.5,0.0,30.0,0.0,64.0
1st,14-7,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,565.0
1st,35-24,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,8.5,9.0,48.53,100.0,37.0,451.0
1st,35-24,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,31.0
1st,35-24,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,77.0
1st,35-24,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,78.0
1st,35-24,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,31.0
1st,35-24,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,234.0
