guess,run,config,good,bad,%,recall,mca,ms
1st,1-1,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -lpc -hamming -flucid,11.0,6.5,62.91,100.0,47.0,937.0
1st,2-2,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -hamming -flucid,11.0,6.5,62.91,100.0,47.0,981.0
1st,19-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid,9.0,8.5,51.47,100.0,39.0,407.0
1st,36-8,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid,9.0,8.5,51.47,100.0,39.0,503.0
1st,32-10,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -eucl -flucid,9.0,8.5,51.47,100.0,36.0,1180.0
1st,14-7,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -eucl -flucid,9.0,8.5,51.47,100.0,36.0,1252.0
1st,35-24,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,8.5,9.0,48.53,100.0,37.0,451.0
1st,21-46,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,8.5,9.0,48.53,100.0,37.0,497.0
1st,5-127,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -hamming -flucid,8.5,9.0,48.370000000000005,100.0,34.0,1187.0
1st,6-151,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -hamming -flucid,8.5,9.0,48.370000000000005,100.0,34.0,1263.0
1st,3-203,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -lpc -cheb -flucid,8.5,9.0,48.2,100.0,37.0,970.0
1st,71-47,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,454.0
1st,62-52,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,483.0
1st,136-6,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,1187.0
1st,51-26,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid,8.0,9.5,45.75,100.0,35.0,489.0
1st,81-19,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,502.0
1st,58-33,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,502.0
1st,41-30,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,508.0
1st,39-138,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,515.0
1st,13-67,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,515.0
1st,74-56,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,537.0
1st,73-40,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,553.0
1st,56-57,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,579.0
1st,16-104,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -eucl -flucid,8.0,9.5,45.59,100.0,35.0,512.0
1st,17-166,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -eucl -flucid,8.0,9.5,45.59,100.0,35.0,562.0
1st,31-72,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,564.0
1st,125-3,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -lpc -mink -flucid,8.0,9.5,45.915,100.0,35.0,1238.0
1st,86-4,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -lpc -mink -flucid,8.0,9.5,45.915,100.0,32.0,951.0
1st,114-9,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -aggr -hamming -flucid,8.0,9.5,45.915,100.0,32.0,1000.0
1st,50-21,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,480.0
1st,61-29,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,483.0
1st,38-144,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid,8.0,9.5,45.59,100.0,35.0,500.0
1st,24-133,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid,8.0,9.5,45.59,100.0,35.0,505.0
1st,43-20,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,546.0
1st,42-59,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,595.0
1st,11-163,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,547.0
