./javalimited.sh: No lock taken...
./javalimited.sh: Lock acquired. Reading counter.
./javalimited.sh: Registered started JVMs: 0
./javalimited.sh: Registering our JVM...
./javalimited.sh: Re-releasing lock 2...
./javalimited.sh: Running our real JVM [java]: 1...
SATEDb.query(): DB size: 5
SATEDb.query(): DB size: 5
guess,run,config,good,bad,%,recall,mca,ms
1st,1,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid,13,4,76.47,100.00,68.00,340
1st,1,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),0,1,0.00,20.00,0.00,8
1st,1,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),1,0,100.00,20.00,100.00,12
1st,1,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),2,3,40.00,100.00,40.00,58
1st,1,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),5,0,100.00,100.00,100.00,74
1st,1,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -hamming -flucid),5,0,100.00,100.00,100.00,188
1st,2,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid,13,4,76.47,100.00,68.00,336
1st,2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),0,1,0.00,20.00,0.00,8
1st,2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),1,0,100.00,20.00,100.00,12
1st,2,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),2,3,40.00,100.00,40.00,66
1st,2,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),5,0,100.00,100.00,100.00,74
1st,2,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -hamming -flucid),5,0,100.00,100.00,100.00,176
1st,3,-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid,10,7,58.82,100.00,40.00,754
1st,3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),0,1,0.00,20.00,0.00,30
1st,3,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),0,1,0.00,20.00,0.00,32
1st,3,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),3,2,60.00,100.00,60.00,156
1st,3,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),5,0,100.00,100.00,100.00,158
1st,3,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -high -minmax -cos -flucid),2,3,40.00,100.00,40.00,378
1st,4,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid,10,7,58.82,100.00,40.00,812
1st,4,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),0,1,0.00,20.00,0.00,30
1st,4,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),0,1,0.00,20.00,0.00,64
1st,4,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),3,2,60.00,100.00,60.00,218
1st,4,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),5,0,100.00,100.00,100.00,124
1st,4,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -high -minmax -cos -flucid),2,3,40.00,100.00,40.00,376
1st,5,-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -cheb -flucid,9,8,52.94,100.00,36.00,624
1st,5,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -cheb -flucid),0,1,0.00,20.00,0.00,32
1st,5,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -cheb -flucid),0,1,0.00,20.00,0.00,32
1st,5,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -endp -fft -cheb -flucid),5,0,100.00,100.00,100.00,124
