guess,run,config,good,bad,%,recall,mca,ms
1st,14-183,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,904.0
1st,14-183,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,156.0
1st,14-183,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,249.0
1st,14-183,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid),5.0,0.0,100.0,100.0,100.0,63.0
1st,14-183,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,264.0
1st,14-183,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,172.0
1st,18-151,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,928.0
1st,18-151,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,120.0
1st,18-151,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),2.5,2.5,50.0,100.0,50.0,292.0
1st,18-151,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),5.0,0.0,100.0,100.0,100.0,71.0
1st,18-151,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,275.0
1st,18-151,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),3.0,2.0,60.0,100.0,60.0,170.0
1st,16-90,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,934.0
1st,16-90,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,119.0
1st,16-90,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),2.5,2.5,50.0,100.0,50.0,289.0
1st,16-90,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),5.0,0.0,100.0,100.0,100.0,73.0
1st,16-90,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,269.0
1st,16-90,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),3.0,2.0,60.0,100.0,60.0,184.0
1st,21-131,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,939.0
1st,21-131,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,133.0
1st,21-131,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,289.0
1st,21-131,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid),5.0,0.0,100.0,100.0,100.0,73.0
1st,21-131,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,245.0
1st,21-131,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,199.0
1st,15-127,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,952.0
1st,15-127,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,131.0
1st,15-127,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid),2.5,2.5,50.0,100.0,50.0,317.0
1st,15-127,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid),5.0,0.0,100.0,100.0,100.0,95.0
1st,15-127,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid),2.0,3.0,40.0,100.0,40.0,247.0
1st,15-127,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid),3.0,2.0,60.0,100.0,60.0,162.0
1st,10-101,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,960.0
1st,10-101,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,138.0
1st,10-101,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid),2.5,2.5,50.0,100.0,50.0,289.0
1st,10-101,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid),5.0,0.0,100.0,100.0,100.0,91.0
1st,10-101,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,249.0
