guess,run,config,good,bad,%,recall,mca,ms
1st,14-183,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,904.0
1st,18-151,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,928.0
1st,16-90,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,934.0
1st,21-131,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,939.0
1st,15-127,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,952.0
1st,10-101,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,960.0
1st,12-128,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,972.0
1st,20-95,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,979.0
1st,11-132,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,980.0
1st,41-78,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -cheb -flucid,14.5,10.5,58.0,100.0,58.0,997.0
1st,13-129,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,1001.0
1st,27-71,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cheb -flucid,14.5,10.5,58.0,100.0,58.0,1003.0
1st,22-126,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cos -flucid,14.5,10.5,58.0,100.0,58.0,1009.0
1st,26-88,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -diff -flucid,14.5,10.5,58.0,100.0,58.0,1036.0
1st,7-99,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1044.0
1st,25-66,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1068.0
1st,39-70,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1078.0
1st,29-86,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -diff -flucid,14.5,10.5,58.0,100.0,58.0,1079.0
1st,52-12,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -mink -flucid,14.5,10.5,58.0,100.0,58.0,1091.0
1st,56-9,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -mink -flucid,14.5,10.5,58.0,100.0,58.0,1099.0
1st,5-227,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,14.0,11.0,56.0,100.0,56.0,715.0
1st,4-230,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,14.0,11.0,56.0,100.0,56.0,756.0
1st,28-109,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,910.0
1st,35-100,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,924.0
1st,32-144,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,955.0
1st,34-142,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,968.0
1st,42-143,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,977.0
1st,8-210,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1018.0
1st,40-115,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cos -flucid,14.0,11.0,56.0,100.0,56.0,1020.0
1st,17-204,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1025.0
1st,36-138,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,1050.0
1st,33-111,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -cos -flucid,14.0,11.0,56.0,100.0,56.0,1106.0
1st,102-73,-noclustering --nothreshold --niolocking -dynaclass -noise -band -fft -diff -flucid,14.0,11.0,56.0,100.0,56.0,1801.0
1st,80-59,-noclustering --nothreshold --niolocking -dynaclass -noise -band -fft -cheb -flucid,14.0,11.0,56.0,100.0,56.0,1868.0
1st,49-87,-noclustering --nothreshold --niolocking -dynaclass -noise -band -aggr -cheb -flucid,14.0,11.0,56.0,100.0,56.0,2429.0
1st,112-54,-noclustering --nothreshold --niolocking -dynaclass -noise -band -aggr -diff -flucid,14.0,11.0,56.0,100.0,56.0,2502.0
1st,192-75,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -cheb -flucid,13.5,11.5,54.0,100.0,54.0,551.0
1st,115-65,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -cheb -flucid,13.5,11.5,54.0,100.0,54.0,555.0
1st,1-394,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid,13.5,11.5,54.0,100.0,54.0,756.0
1st,2-392,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid,13.5,11.5,54.0,100.0,54.0,788.0
1st,53-160,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,907.0
1st,76-103,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,973.0
1st,97-139,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,986.0
1st,100-108,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,995.0
1st,86-94,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,1008.0
1st,93-91,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -mink -flucid,13.5,11.5,54.0,100.0,54.0,1029.0
1st,84-150,-noclustering --nothreshold --niolocking -dynaclass -silence -high -minmax -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1033.0
1st,134-47,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -aggr -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1034.0
1st,67-167,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -minmax -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1108.0
1st,222-76,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1150.0
1st,131-85,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1166.0
1st,128-64,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1207.0
1st,378-32,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1208.0
1st,333-21,-noclustering --nothreshold --niolocking -dynaclass -silence -low -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1225.0
1st,265-15,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1225.0
1st,214-44,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1228.0
1st,129-63,-noclustering --nothreshold --niolocking -dynaclass -silence -band -fft -mink -flucid,13.5,11.5,54.0,100.0,54.0,1234.0
1st,292-37,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1236.0
1st,65-181,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1251.0
1st,127-79,-noclustering --nothreshold --niolocking -dynaclass -silence -band -fft -eucl -flucid,13.5,11.5,54.0,100.0,54.0,1252.0
1st,107-161,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -fft -mink -flucid,13.5,11.5,54.0,100.0,54.0,1255.0
1st,291-17,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1261.0
1st,277-38,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1280.0
1st,120-52,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1291.0
1st,373-25,-noclustering --nothreshold --niolocking -dynaclass -silence -low -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1294.0
1st,385-30,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1335.0
1st,169-60,-noclustering --nothreshold --niolocking -dynaclass -silence -band -aggr -eucl -flucid,13.5,11.5,54.0,100.0,54.0,1789.0
1st,283-20,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1817.0
1st,106-120,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,1821.0
1st,199-57,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1826.0
1st,382-42,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1834.0
1st,372-28,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1843.0
1st,363-41,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -low -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1849.0
1st,206-46,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -cheb -flucid,13.5,11.5,54.0,100.0,54.0,1854.0
1st,108-180,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -high -aggr -mink -flucid,13.5,11.5,54.0,100.0,54.0,1868.0
1st,247-5,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,1881.0
1st,370-3,-noclustering --nothreshold --niolocking -dynaclass -noise -low -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1885.0
1st,170-48,-noclustering --nothreshold --niolocking -dynaclass -silence -band -aggr -mink -flucid,13.5,11.5,54.0,100.0,54.0,1885.0
1st,280-6,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,1888.0
1st,317-10,-noclustering --nothreshold --niolocking -dynaclass -silence -low -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,1903.0
1st,262-11,-noclustering --nothreshold --niolocking -dynaclass -noise -low -fft -cos -flucid,13.5,11.5,54.0,100.0,54.0,1908.0
1st,236-39,-noclustering --nothreshold --niolocking -dynaclass -silence -low -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,1911.0
1st,365-22,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,1928.0
1st,314-33,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -low -fft -diff -flucid,13.5,11.5,54.0,100.0,54.0,1956.0
1st,352-16,-noclustering --nothreshold --niolocking -dynaclass -noise -low -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,2410.0
1st,302-24,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -low -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,2513.0
1st,360-34,-noclustering --nothreshold --niolocking -dynaclass -noise -low -aggr -cos -flucid,13.5,11.5,54.0,100.0,54.0,2514.0
1st,371-35,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -low -aggr -diff -flucid,13.5,11.5,54.0,100.0,54.0,2576.0
1st,343-62,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,463.0
1st,133-182,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,468.0
1st,179-136,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,471.0
1st,193-179,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,479.0
1st,165-112,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,492.0
1st,201-141,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,505.0
1st,287-49,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,507.0
1st,159-147,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,507.0
1st,250-69,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,508.0
1st,136-92,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,515.0
1st,220-163,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,538.0
1st,125-121,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,545.0
1st,142-148,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,574.0
1st,231-84,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,578.0
1st,121-162,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,689.0
1st,19-326,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid,13.0,12.0,52.0,100.0,52.0,761.0
1st,9-255,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid,13.0,12.0,52.0,100.0,52.0,791.0
1st,147-114,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1035.0
1st,208-125,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1045.0
1st,156-104,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -aggr -diff -flucid,13.0,12.0,52.0,100.0,52.0,1080.0
1st,305-80,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1080.0
1st,180-172,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1098.0
1st,282-77,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1111.0
1st,168-177,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1121.0
1st,160-155,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1134.0
1st,117-89,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1136.0
1st,290-83,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1138.0
1st,174-113,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -aggr -diff -flucid,13.0,12.0,52.0,100.0,52.0,1138.0
1st,436-1,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1145.0
1st,161-117,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -aggr -diff -flucid,13.0,12.0,52.0,100.0,52.0,1150.0
1st,143-149,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -aggr -diff -flucid,13.0,12.0,52.0,100.0,52.0,1151.0
1st,414-40,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1175.0
1st,135-110,-noclustering --nothreshold --niolocking -dynaclass -silence -band -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,1183.0
1st,204-137,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1193.0
1st,146-170,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1197.0
1st,217-158,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -fft -cos -flucid,13.0,12.0,52.0,100.0,52.0,1200.0
1st,456-4,-noclustering --nothreshold --niolocking -dynaclass -silence -low -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1201.0
1st,259-50,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1206.0
1st,141-168,-noclustering --nothreshold --niolocking -dynaclass -silence -band -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1208.0
1st,145-145,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -fft -cos -flucid,13.0,12.0,52.0,100.0,52.0,1234.0
1st,171-178,-noclustering --nothreshold --niolocking -dynaclass -silence -low -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1241.0
1st,202-107,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1246.0
1st,124-165,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1266.0
1st,294-55,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -mink -flucid,13.0,12.0,52.0,100.0,52.0,1271.0
1st,223-157,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -fft -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1285.0
1st,496-14,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -fft -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1357.0
1st,158-119,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1645.0
1st,197-156,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -mink -flucid,13.0,12.0,52.0,100.0,52.0,1654.0
1st,200-166,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -mink -flucid,13.0,12.0,52.0,100.0,52.0,1696.0
1st,104-190,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1702.0
1st,79-199,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -minmax -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1745.0
1st,195-96,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -minmax -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1748.0
1st,205-133,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1750.0
1st,113-98,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -band -fft -diff -flucid,13.0,12.0,52.0,100.0,52.0,1766.0
1st,499-29,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1790.0
1st,399-27,-noclustering --nothreshold --niolocking -dynaclass -silence -low -aggr -cheb -flucid,13.0,12.0,52.0,100.0,52.0,1790.0
1st,191-173,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -band -aggr -eucl -flucid,13.0,12.0,52.0,100.0,52.0,1800.0
