guess,run,config,good,bad,%,recall,mca,ms
1st,21-2,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid,16.5,8.5,66.0,100.0,66.0,1907.0
1st,21-2,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid),2.0,3.0,40.0,100.0,40.0,275.0
1st,21-2,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid),3.5,1.5,70.0,100.0,70.0,608.0
1st,21-2,Social (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid),4.0,1.0,80.0,100.0,80.0,166.0
1st,21-2,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid),4.0,1.0,80.0,100.0,80.0,542.0
1st,21-2,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid),3.0,2.0,60.0,100.0,60.0,316.0
1st,32-1,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid,16.5,8.5,66.0,100.0,66.0,1914.0
1st,32-1,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid),2.0,3.0,40.0,100.0,40.0,279.0
1st,32-1,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid),3.5,1.5,70.0,100.0,70.0,614.0
1st,32-1,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid),4.0,1.0,80.0,100.0,80.0,158.0
1st,32-1,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid),4.0,1.0,80.0,100.0,80.0,540.0
1st,32-1,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid),3.0,2.0,60.0,100.0,60.0,323.0
1st,30-4,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid,16.5,8.5,66.0,100.0,66.0,2534.0
1st,30-4,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid),2.0,3.0,40.0,100.0,40.0,387.0
1st,30-4,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid),3.5,1.5,70.0,100.0,70.0,836.0
1st,30-4,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid),4.0,1.0,80.0,100.0,80.0,195.0
1st,30-4,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid),4.0,1.0,80.0,100.0,80.0,726.0
1st,30-4,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid),3.0,2.0,60.0,100.0,60.0,390.0
1st,22-3,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -cheb -flucid,16.5,8.5,66.0,100.0,66.0,2546.0
1st,22-3,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -cheb -flucid),2.0,3.0,40.0,100.0,40.0,379.0
1st,22-3,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -cheb -flucid),3.5,1.5,70.0,100.0,70.0,851.0
