guess,run,config,good,bad,%,recall,mca,ms
1st,21-2,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -cheb -flucid,16.5,8.5,66.0,100.0,66.0,1907.0
1st,32-1,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -cheb -flucid,16.5,8.5,66.0,100.0,66.0,1914.0
1st,30-4,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -cheb -flucid,16.5,8.5,66.0,100.0,66.0,2534.0
1st,22-3,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -cheb -flucid,16.5,8.5,66.0,100.0,66.0,2546.0
1st,33-6,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -diff -flucid,16.0,9.0,64.0,100.0,64.0,1905.0
1st,31-5,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -diff -flucid,16.0,9.0,64.0,100.0,64.0,1990.0
1st,35-8,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -diff -flucid,16.0,9.0,64.0,100.0,64.0,2538.0
1st,41-7,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -diff -flucid,16.0,9.0,64.0,100.0,64.0,2578.0
1st,10-80,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,952.0
1st,5-70,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,961.0
1st,3-88,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,972.0
1st,12-51,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,985.0
1st,7-39,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,1001.0
1st,8-49,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -lpc -mink -flucid,15.5,9.5,62.0,100.0,62.0,1033.0
1st,16-65,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -cheb -flucid,15.0,10.0,60.0,100.0,60.0,1103.0
1st,20-98,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -cheb -flucid,15.0,10.0,60.0,100.0,60.0,1153.0
1st,76-25,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -fft -eucl -flucid,14.5,10.5,58.0,100.0,58.0,543.0
1st,93-28,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -fft -eucl -flucid,14.5,10.5,58.0,100.0,58.0,566.0
1st,23-77,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1083.0
1st,24-103,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -bandstop -minmax -mink -flucid,14.5,10.5,58.0,100.0,58.0,1097.0
1st,36-110,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1129.0
1st,26-63,-noclustering --nothreshold --niolocking -dynaclass -silence -bandstop -minmax -mink -flucid,14.5,10.5,58.0,100.0,58.0,1158.0
1st,45-26,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -norm -aggr -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1168.0
1st,120-15,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -diff -flucid,14.5,10.5,58.0,100.0,58.0,1227.0
1st,200-13,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -fft -diff -flucid,14.5,10.5,58.0,100.0,58.0,1271.0
1st,91-27,-noclustering --nothreshold --niolocking -dynaclass -silence -norm -aggr -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1274.0
1st,170-11,-noclustering --nothreshold --niolocking -dynaclass -silence -low -fft -diff -flucid,14.5,10.5,58.0,100.0,58.0,1288.0
1st,140-22,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -diff -flucid,14.5,10.5,58.0,100.0,58.0,1304.0
1st,205-19,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -aggr -diff -flucid,14.5,10.5,58.0,100.0,58.0,1859.0
1st,28-44,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -fft -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1915.0
1st,38-69,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -fft -eucl -flucid,14.5,10.5,58.0,100.0,58.0,1922.0
1st,135-9,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -aggr -diff -flucid,14.5,10.5,58.0,100.0,58.0,1923.0
1st,196-17,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -norm -aggr -diff -flucid,14.5,10.5,58.0,100.0,58.0,1941.0
1st,103-21,-noclustering --nothreshold --niolocking -dynaclass -silence -low -aggr -diff -flucid,14.5,10.5,58.0,100.0,58.0,1950.0
1st,25-104,-noclustering --nothreshold --niolocking -dynaclass -noise -bandstop -aggr -eucl -flucid,14.5,10.5,58.0,100.0,58.0,2541.0
1st,40-72,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -bandstop -aggr -eucl -flucid,14.5,10.5,58.0,100.0,58.0,2555.0
1st,83-54,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -fft -eucl -flucid,14.0,11.0,56.0,100.0,56.0,515.0
1st,61-73,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -fft -eucl -flucid,14.0,11.0,56.0,100.0,56.0,523.0
1st,43-64,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -fft -eucl -flucid,14.0,11.0,56.0,100.0,56.0,529.0
1st,49-31,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -fft -eucl -flucid,14.0,11.0,56.0,100.0,56.0,554.0
1st,14-211,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,751.0
1st,9-201,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -cos -flucid,14.0,11.0,56.0,100.0,56.0,768.0
1st,2-218,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cheb -flucid,14.0,11.0,56.0,100.0,56.0,773.0
1st,11-221,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -eucl -flucid,14.0,11.0,56.0,100.0,56.0,779.0
1st,13-229,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -eucl -flucid,14.0,11.0,56.0,100.0,56.0,780.0
1st,19-146,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -mink -flucid,14.0,11.0,56.0,100.0,56.0,791.0
1st,4-195,-noclustering --nothreshold --niolocking -dynaclass -silence -endp -lpc -cos -flucid,14.0,11.0,56.0,100.0,56.0,795.0
1st,17-193,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -endp -lpc -mink -flucid,14.0,11.0,56.0,100.0,56.0,841.0
1st,63-55,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -aggr -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1113.0
1st,59-97,-noclustering --nothreshold --niolocking -dynaclass -silence-noise -raw -aggr -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1115.0
1st,51-50,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -aggr -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1127.0
1st,69-67,-noclustering --nothreshold --niolocking -dynaclass -silence -raw -aggr -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1191.0
1st,241-24,-noclustering --nothreshold --niolocking -dynaclass -noise -norm -fft -cheb -flucid,14.0,11.0,56.0,100.0,56.0,1235.0
1st,48-81,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -eucl -flucid,14.0,11.0,56.0,100.0,56.0,1250.0
1st,228-16,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -low -fft -cheb -flucid,14.0,11.0,56.0,100.0,56.0,1251.0
